uid,orig_commodity,orig_first_period,orig_last_period,orig_status,n_steps_in_chain,journey,family_id,latest_commodity,final_status
EXR_0001,"3001.10.00 - Glands and other organs, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",2000-03-01,2006-10-01,ended_2006-12,2,3001.10.00 -> 3001.20.00,EX_0001,"3001.20.00 - Extracts of glands/other organs or of their secretions, for therapeutic uses",active
EXR_0002,"3001.20.00 - Extracts of glands/other organs or of their secretions, for therapeutic uses",2000-01-01,2026-01-01,active,1,3001.20.00,EX_0001,"3001.20.00 - Extracts of glands/other organs or of their secretions, for therapeutic uses",active
EXR_0003,"3001.90.00 - Heparin & its salts;human or animal substances for therap or prophltc uses, nes",2007-01-01,2026-02-01,active,1,3001.90.00,EX_0003,"3001.90.00 - Heparin & its salts;human or animal substances for therap or prophltc uses, nes",active
EXR_0004,"3001.90.00 - Heparin & its salts;human or animal substnces for therap or prophltc uses, nes",2000-01-01,2006-12-01,ended_2006-12,1,3001.90.00,EX_0003,"3001.90.00 - Heparin & its salts;human or animal substances for therap or prophltc uses, nes",active
EXR_0005,"3002.10.00 - Antisera and other bld fract and mod immn prod, w/n obtained b/m of btech proc (Terminated 2016-12)",2000-01-01,2011-12-01,ended_2011-12,2,3002.10.00 -> 3002.12.00,EX_0004,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",active
EXR_0006,"3002.10.00 - Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc (Terminated 2016-12)",2012-01-01,2016-12-01,ended_2016-12,2,3002.10.00 -> 3002.12.00,EX_0004,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",active
EXR_0007,3002.11.00 - Malaria diagnostic test kits (Terminated 2021-12),2017-02-01,2021-11-01,ended_2021-12,1,3002.11.00,EX_0005,3002.11.00 - Malaria diagnostic test kits (Terminated 2021-12),ended_2021-12
EXR_0008,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",2017-01-01,2026-02-01,active,1,3002.12.00,EX_0004,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",active
EXR_0009,"3002.13.00 - Immunological products, unmixed, not put up in measured doses/forms/packings frs",2017-06-01,2026-02-01,active,1,3002.13.00,EX_0007,"3002.13.00 - Immunological products, unmixed, not put up in measured doses/forms/packings frs",active
EXR_0010,"3002.14.00 - Immunological products,mixed,not put in measured doses/forms/packings f ret sale",2017-01-01,2026-02-01,active,1,3002.14.00,EX_0008,"3002.14.00 - Immunological products,mixed,not put in measured doses/forms/packings f ret sale",active
EXR_0011,"3002.15.00 - Immunological products, put up in measured doses/forms/packings, for retail sale",2017-01-01,2026-02-01,active,1,3002.15.00,EX_0009,"3002.15.00 - Immunological products, put up in measured doses/forms/packings, for retail sale",active
EXR_0012,"3002.19.00 - Immunological products, nes, w/n modified/obtained by biotechnological processes (Terminated 2021-12)",2017-01-01,2021-12-01,ended_2021-12,2,3002.19.00 -> 3002.49.00,EX_0010,"3002.49.00 - Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",active
EXR_0013,3002.20.00 - Vaccines for human medicine (Terminated 2021-12),2002-01-01,2021-12-01,ended_2021-12,2,3002.20.00 -> 3002.41.00,EX_0011,"3002.41.00 - Vaccines, for human medicine",active
EXR_0014,"3002.20.00 - Vaccines, human use (Terminated 2021-12)",2000-01-01,2001-12-01,ended_2001-12,2,3002.20.00 -> 3002.41.00,EX_0011,"3002.41.00 - Vaccines, for human medicine",active
EXR_0015,"3002.30.00 - Vaccines, for veterinary medecine (Terminated 2021-12)",2017-01-01,2021-12-01,ended_2021-12,2,3002.30.00 -> 3002.42.00,EX_0012,"3002.42.00 - Vaccines, for veterinary medecine",active
EXR_0016,"3002.30.10 - Vaccines against foot or mouth disease, veterinary use (Terminated 2016-12)",2000-04-01,2016-06-01,ended_2016-12,3,3002.30.10 -> 3002.30.00 -> 3002.42.00,EX_0012,"3002.42.00 - Vaccines, for veterinary medecine",active
EXR_0017,"3002.30.90 - Vaccines, veterinary use, nes (Terminated 2016-12)",2000-01-01,2016-12-01,ended_2016-12,3,3002.30.90 -> 3002.30.00 -> 3002.42.00,EX_0012,"3002.42.00 - Vaccines, for veterinary medecine",active
EXR_0018,"3002.41.00 - Vaccines, for human medicine",2022-01-01,2026-02-01,active,1,3002.41.00,EX_0011,"3002.41.00 - Vaccines, for human medicine",active
EXR_0019,"3002.42.00 - Vaccines, for veterinary medecine",2022-01-01,2026-02-01,active,1,3002.42.00,EX_0012,"3002.42.00 - Vaccines, for veterinary medecine",active
EXR_0020,"3002.49.00 - Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",2022-01-01,2026-02-01,active,1,3002.49.00,EX_0010,"3002.49.00 - Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",active
EXR_0021,"3002.51.00 - Cell therapy products, whether or not modified",2022-02-01,2026-02-01,active,1,3002.51.00,EX_0016,"3002.51.00 - Cell therapy products, whether or not modified",active
EXR_0022,"3002.59.00 - Cell cultures, whether or not modified, nes",2022-02-01,2026-02-01,active,1,3002.59.00,EX_0017,"3002.59.00 - Cell cultures, whether or not modified, nes",active
EXR_0023,3002.90.10 - Ricin,2000-06-01,2026-02-01,active,1,3002.90.10,EX_0018,3002.90.10 - Ricin,active
EXR_0024,3002.90.20 - Saxitoxin (Terminated 2016-12),2000-10-01,2016-11-01,ended_2016-12,2,3002.90.20 -> 3002.49.00,EX_0010,"3002.49.00 - Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",active
EXR_0025,"3002.90.90 - Human blood; animal blood for therap/prophltc/diag uses;micro-organisms cult,nes",2012-01-01,2016-12-01,ended_2016-12,1,3002.90.90,EX_0020,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR_0026,"3002.90.90 - Human blood;animal blood for therap,prophtc or diag uses; microbial prep, nes",2000-01-01,2011-12-01,ended_2011-12,1,3002.90.90,EX_0020,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR_0027,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",2022-01-01,2026-02-01,active,1,3002.90.90,EX_0020,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR_0028,"3002.90.90 - Human blood;anml blood therap/prophltc/diag uses;toxins,micro-orga cult,sim,nes",2017-01-01,2021-12-01,ended_2021-12,1,3002.90.90,EX_0020,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",active
EXR_0029,"3003.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",2002-04-01,2025-03-01,active,1,3003.10.00,EX_0021,"3003.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",active
EXR_0030,"3003.10.00 - Penicillins or streptomycins and their derivatives, formulated, in bulk",2000-01-01,2000-12-01,ended_2000-12,1,3003.10.00,EX_0021,"3003.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",active
EXR_0031,"3003.20.00 - Antibiotics nes, formulated, in bulk",2000-02-01,2001-12-01,ended_2001-12,1,3003.20.00,EX_0022,"3003.20.00 - Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",active
EXR_0032,"3003.20.00 - Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",2002-01-01,2026-02-01,active,1,3003.20.00,EX_0022,"3003.20.00 - Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",active
EXR_0033,"3003.31.00 - Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",2002-03-01,2025-05-01,active,1,3003.31.00,EX_0023,"3003.31.00 - Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",active
EXR_0034,"3003.39.00 - Hormones nes, formulated, not cntg antibiotics, in bulk, o/t contraceptives",2000-01-01,2001-11-01,ended_2001-11,1,3003.39.00,EX_0024,"3003.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",active
EXR_0035,"3003.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",2002-01-01,2026-02-01,active,1,3003.39.00,EX_0024,"3003.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",active
EXR_0036,"3003.40.00 - Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk (Terminated 2016-12)",2002-11-01,2016-11-01,ended_2016-12,2,3003.40.00 -> 3003.49.00,EX_0025,"3003.49.00 - Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",active
EXR_0037,"3003.41.00 - Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",2020-09-01,2020-09-01,active,1,3003.41.00,EX_0026,"3003.41.00 - Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",active
EXR_0038,"3003.42.00 - Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",2019-05-01,2024-09-01,active,1,3003.42.00,EX_0027,"3003.42.00 - Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",active
EXR_0039,"3003.49.00 - Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",2018-05-01,2026-02-01,active,1,3003.49.00,EX_0025,"3003.49.00 - Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",active
EXR_0040,"3003.60.00 - Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",2020-07-01,2023-08-01,active,1,3003.60.00,EX_0029,"3003.60.00 - Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",active
EXR_0041,"3003.90.00 - Medicaments nes, formulated, in bulk",2000-01-01,2016-12-01,ended_2016-12,1,3003.90.00,EX_0030,"3003.90.00 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",active
EXR_0042,"3003.90.00 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",2017-01-01,2026-02-01,active,1,3003.90.00,EX_0030,"3003.90.00 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",active
EXR_0043,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",2002-01-01,2026-02-01,active,1,3004.10.00,EX_0031,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",active
EXR_0044,"3004.10.00 - Penicillins or streptomycins and their derivatives, in dosage",2000-01-01,2001-12-01,ended_2001-12,1,3004.10.00,EX_0031,"3004.10.00 - Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",active
EXR_0045,"3004.20.00 - Antibiotics nes, in dosage",2000-01-01,2001-12-01,ended_2001-12,1,3004.20.00,EX_0032,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",active
EXR_0046,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",2002-01-01,2026-02-01,active,1,3004.20.00,EX_0032,"3004.20.00 - Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",active
EXR_0047,"3004.31.00 - Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",2002-07-01,2026-02-01,active,1,3004.31.00,EX_0033,"3004.31.00 - Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",active
EXR_0048,"3004.32.00 - Adrenal cortical hormones, not containing antibiotics, in dosage",2000-01-01,2001-12-01,ended_2001-12,1,3004.32.00,EX_0034,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",active
EXR_0049,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",2002-01-01,2026-02-01,active,1,3004.32.00,EX_0034,"3004.32.00 - Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",active
EXR_0050,"3004.39.00 - Hormones nes, not containing antibiotics, in dosage,o/t contraceptive",2000-01-01,2001-12-01,ended_2001-12,1,3004.39.00,EX_0035,"3004.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",active
EXR_0051,"3004.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",2002-01-01,2026-02-01,active,1,3004.39.00,EX_0035,"3004.39.00 - Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",active
EXR_0052,"3004.40.00 - Alkaloids or their derivs, not cntg antibiotics or hormones, in dosage (Terminated 2016-12)",2000-01-01,2016-12-01,ended_2016-12,2,3004.40.00 -> 3004.49.00,EX_0036,"3004.49.00 - Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",active
EXR_0053,"3004.41.00 - Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2017-01-01,2026-01-01,active,1,3004.41.00,EX_0037,"3004.41.00 - Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",active
EXR_0054,"3004.42.00 - Medi,cont pseudoephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2017-01-01,2026-02-01,active,1,3004.42.00,EX_0038,"3004.42.00 - Medi,cont pseudoephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",active
EXR_0055,"3004.43.00 - Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2017-03-01,2022-03-01,active,1,3004.43.00,EX_0039,"3004.43.00 - Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",active
EXR_0056,"3004.49.00 - Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",2017-01-01,2026-02-01,active,1,3004.49.00,EX_0036,"3004.49.00 - Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",active
EXR_0057,"3004.50.00 - Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",2002-01-01,2026-02-01,active,1,3004.50.00,EX_0041,"3004.50.00 - Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",active
EXR_0058,"3004.50.00 - Vitamins and their derivatives,in dosage",2000-01-01,2001-12-01,ended_2001-12,1,3004.50.00,EX_0041,"3004.50.00 - Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",active
EXR_0059,"3004.60.00 - Medicaments,cont antimalarial active principles,in doses/frs,o/t No 30.02/05/06",2017-01-01,2026-02-01,active,1,3004.60.00,EX_0042,"3004.60.00 - Medicaments,cont antimalarial active principles,in doses/frs,o/t No 30.02/05/06",active
EXR_0060,"3004.90.00 - Medicaments nes, in dosage (Terminated 2017-12)",2000-01-01,2016-12-01,ended_2016-12,2,3004.90.00 -> 3004.90.90,EX_0043,"3004.90.90 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",active
EXR_0061,"3004.90.00 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06 (Terminated 2017-12)",2017-01-01,2017-12-01,ended_2017-12,2,3004.90.00 -> 3004.90.90,EX_0043,"3004.90.90 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",active
EXR_0062,"3004.90.10 - Medi cont cannabis/cannabinoids, therap/prophltc uses, doses/pack f retail sale",2018-02-01,2026-02-01,active,1,3004.90.10,EX_0044,"3004.90.10 - Medi cont cannabis/cannabinoids, therap/prophltc uses, doses/pack f retail sale",active
EXR_0063,"3004.90.90 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",2018-01-01,2026-02-01,active,1,3004.90.90,EX_0043,"3004.90.90 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",active
EXR_0064,3005.10.00 - Dressings and other articles having an adhesive layer,2000-01-01,2026-02-01,active,1,3005.10.00,EX_0045,3005.10.00 - Dressings and other articles having an adhesive layer,active
EXR_0065,"3005.90.00 - Dressings & similar articles,impreg or coated or packaged for med use, nes",2000-01-01,2026-02-01,active,1,3005.90.00,EX_0046,"3005.90.00 - Dressings & similar articles,impreg or coated or packaged for med use, nes",active
EXR_0066,"3006.10.00 - Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",2002-01-01,2026-02-01,active,1,3006.10.00,EX_0047,"3006.10.00 - Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",active
EXR_0067,"3006.10.00 - Suture materials,sterile;laminaria, sterie;haemostatics,sterile,surg or dental",2000-03-01,2001-06-01,ended_2001-06,1,3006.10.00,EX_0047,"3006.10.00 - Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",active
EXR_0068,3006.20.00 - Blood-grouping reagents (Terminated 2021-12),2000-02-01,2021-12-01,ended_2021-12,1,3006.20.00,EX_0048,3006.20.00 - Blood-grouping reagents (Terminated 2021-12),ended_2021-12
EXR_0069,"3006.30.00 - Opacifying prep, x-ray; diagnostic reagents, designed for admin to patients",2000-01-01,2026-02-01,active,1,3006.30.00,EX_0049,"3006.30.00 - Opacifying prep, x-ray; diagnostic reagents, designed for admin to patients",active
EXR_0070,3006.40.00 - Dental cements & other dental fillings; bone reconstruction cements,2000-01-01,2026-02-01,active,1,3006.40.00,EX_0050,3006.40.00 - Dental cements & other dental fillings; bone reconstruction cements,active
EXR_0071,3006.50.00 - First-aid boxes and kits,2000-01-01,2026-02-01,active,1,3006.50.00,EX_0051,3006.50.00 - First-aid boxes and kits,active
EXR_0072,"3006.60.00 - Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",2002-01-01,2026-02-01,active,1,3006.60.00,EX_0052,"3006.60.00 - Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",active
EXR_0073,"3006.60.00 - Contraceptive prep based on hormones, on other prod of No 29.37 or spermicides",2000-01-01,2001-12-01,ended_2001-12,1,3006.60.00,EX_0052,"3006.60.00 - Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",active
EXR_0074,"3006.70.00 - Gel prep f human/vet medicine as lub f parts of body f oper/examination,etc",2002-05-01,2026-02-01,active,1,3006.70.00,EX_0053,"3006.70.00 - Gel prep f human/vet medicine as lub f parts of body f oper/examination,etc",active
EXR_0075,3006.80.00 - Waste pharmaceuticals (Terminated 2006-12),2002-09-01,2006-12-01,ended_2006-12,2,3006.80.00 -> 3006.92.00,EX_0054,"3006.92.00 - Waste pharmaceuticals, nes",active
EXR_0076,3006.91.00 - Appliances identifiable for ostomy use,2007-03-01,2026-02-01,active,1,3006.91.00,EX_0055,3006.91.00 - Appliances identifiable for ostomy use,active
EXR_0077,"3006.92.00 - Waste pharmaceuticals, nes",2007-03-01,2026-02-01,active,1,3006.92.00,EX_0054,"3006.92.00 - Waste pharmaceuticals, nes",active
EXR_0078,"3006.93.00 - Placebos,blinded or double blinded clinical trial kits, put up in measured doses",2022-01-01,2026-02-01,active,1,3006.93.00,EX_0056,"3006.93.00 - Placebos,blinded or double blinded clinical trial kits, put up in measured doses",active
